time,open,high,low,close
2025-01-18T05:00:00-06:00,103222.04,103906.52,102973.34,103628.54
2025-01-18T06:00:00-06:00,103628.54,104067.58,103415.96,103493.66
2025-01-18T07:00:00-06:00,103494.49,104413.55,103170.88,104396.63
2025-01-18T08:00:00-06:00,104397.04,104557.39,103769.96,104025.18
2025-01-18T09:00:00-06:00,104025.19,105017.72,103799.62,104605
2025-01-18T10:00:00-06:00,104605.41,104748.62,103191.71,103281.09
2025-01-18T11:00:00-06:00,103279.64,104242.98,103279.45,103867.44
2025-01-18T12:00:00-06:00,103867.76,104427.59,103823.1,104120.17
2025-01-18T13:00:00-06:00,104120.17,104517.67,104115.64,104419.56
2025-01-18T14:00:00-06:00,104419.37,104524.5,103811.25,104065.45
2025-01-18T15:00:00-06:00,104065.45,104307.82,103922.41,103931.15
2025-01-18T16:00:00-06:00,103933.06,104338.55,103900.94,104326.28
2025-01-18T17:00:00-06:00,104326.28,104751.37,104326.28,104588.64
2025-01-18T18:00:00-06:00,104588.64,104588.64,103988.7,103988.74
2025-01-18T19:00:00-06:00,103988.24,104553.14,103897.02,104365.24
2025-01-18T20:00:00-06:00,104365.24,105316.5,104364.88,104756.58
2025-01-18T21:00:00-06:00,104756.58,105056.58,104439.45,104860.08
2025-01-18T22:00:00-06:00,104860.73,105130.71,104569.96,104907.79
2025-01-18T23:00:00-06:00,104907.79,105004.67,104145.07,104990.19
2025-01-19T00:00:00-06:00,104990.19,105504.14,104909.85,105443.84
2025-01-19T01:00:00-06:00,105443.71,105466.56,104846.78,105046.92
2025-01-19T02:00:00-06:00,105046.91,105046.92,104207.64,104311.09
2025-01-19T03:00:00-06:00,104311.43,105328.17,103371.75,105173.96
2025-01-19T04:00:00-06:00,105173.96,105174.11,104290.42,104703.33
2025-01-19T05:00:00-06:00,104703.26,105218.42,104088.06,104238.99
2025-01-19T06:00:00-06:00,104238.99,104898.43,104181.42,104816.16
2025-01-19T07:00:00-06:00,104814.51,105195.57,104744.38,104839.99
2025-01-19T08:00:00-06:00,104840.56,105571.73,104678.85,105030.21
2025-01-19T09:00:00-06:00,105028.43,105116.17,104410.97,104831.03
2025-01-19T10:00:00-06:00,104829.82,105083,104598.26,104834.97
2025-01-19T11:00:00-06:00,104836.03,105024.05,104400.44,104988.07
2025-01-19T12:00:00-06:00,104985.74,105124.21,104781.73,104914.81
2025-01-19T13:00:00-06:00,104915.02,106071.69,104848.1,106061.32
2025-01-19T14:00:00-06:00,106061.32,106292.15,105400.14,106167.56
2025-01-19T15:00:00-06:00,106166.79,106247.38,103573.94,103578.4
2025-01-19T16:00:00-06:00,103578.26,104347.22,101042.79,103285.17
2025-01-19T17:00:00-06:00,103284.95,103286.57,99560.16,101204.35
2025-01-19T18:00:00-06:00,101204.35,101526.89,99462.66,99664.16
2025-01-19T19:00:00-06:00,99666.52,100839.25,99504.14,100551.75
2025-01-19T20:00:00-06:00,100550.75,102172.36,100470.39,101783.44
2025-01-19T21:00:00-06:00,101784.71,102066.18,101290.96,101768.97
2025-01-19T22:00:00-06:00,101770.12,102656.28,101415.16,102101.98
2025-01-19T23:00:00-06:00,102101.98,102683.62,102007.78,102200.72
2025-01-20T00:00:00-06:00,102200.72,109396.43,102087.12,107310.72
2025-01-20T01:00:00-06:00,107313.96,109211.22,106804.01,106962.07
2025-01-20T02:00:00-06:00,106965.25,108228.58,106965.03,108169.28
2025-01-20T03:00:00-06:00,108168.27,109021.16,107414.43,107984.41
2025-01-20T04:00:00-06:00,107983.96,108574.67,107635.67,107836.32
2025-01-20T05:00:00-06:00,107836.32,108391.37,107648.11,108089.72
2025-01-20T06:00:00-06:00,108089.73,108537.78,105393.72,106769.57
2025-01-20T07:00:00-06:00,106769.87,107967.02,106510.67,107800.23
