date,open,high,low,close
2024-05-01 17:00:00+00:00,56993.63,57623.16,56598.64,57426.78
2024-05-01 18:00:00+00:00,57426.78,59402.81,57303.84,58866.99
2024-05-01 19:00:00+00:00,58866.99,59208.94,56854.69,56916.38
2024-05-01 20:00:00+00:00,56916.79,57479.84,56722.01,57315.16
2024-05-01 21:00:00+00:00,57315.71,58110.68,57213.06,57855.01
2024-05-01 22:00:00+00:00,57855.95,58143.34,57815.74,57832.61
2024-05-01 23:00:00+00:00,57832.6,58490.35,57778.98,58301.58
2024-05-02 00:00:00+00:00,58302.44,58504.11,57571.61,57683.19
2024-05-02 01:00:00+00:00,57683.19,57813.64,56904.17,57027.89
2024-05-02 02:00:00+00:00,57028.17,57550.62,57027.4,57379.72
2024-05-02 03:00:00+00:00,57379.77,57610.1,57299.72,57365.02
2024-05-02 04:00:00+00:00,57364.93,57557.84,57227.52,57314.35
2024-05-02 05:00:00+00:00,57314.32,57449.73,57134.52,57402.76
2024-05-02 06:00:00+00:00,57403.72,57637.49,57330.74,57545.71
2024-05-02 07:00:00+00:00,57546.07,57826.27,57544.25,57594.62
2024-05-02 08:00:00+00:00,57594.62,57889.54,57535.1,57753.17
2024-05-02 09:00:00+00:00,57753.17,57813.38,57563.83,57719.89
2024-05-02 10:00:00+00:00,57719.89,57813.68,57503.85,57723.97
2024-05-02 11:00:00+00:00,57723.97,58590.39,57705.69,58473.0
2024-05-02 12:00:00+00:00,58473.0,59020.17,58374.06,58474.25
2024-05-02 13:00:00+00:00,58474.25,58703.68,58161.13,58363.23
2024-05-02 14:00:00+00:00,58361.96,59207.18,58225.07,58973.81
2024-05-02 15:00:00+00:00,58973.25,59358.36,58888.84,59177.97
2024-05-02 16:00:00+00:00,59177.97,59222.82,58870.15,58933.07
2024-05-02 17:00:00+00:00,58933.37,59194.05,58870.27,59107.22
2024-05-02 18:00:00+00:00,59107.22,59475.37,58904.59,59304.89
2024-05-02 19:00:00+00:00,59304.89,59304.89,58949.69,59270.27
2024-05-02 20:00:00+00:00,59269.99,59339.81,58574.56,58642.88
2024-05-02 21:00:00+00:00,58642.87,59521.43,58621.55,59027.69
2024-05-02 22:00:00+00:00,59028.16,59364.22,58996.24,59244.26
2024-05-02 23:00:00+00:00,59244.16,59292.16,58985.44,58987.16
2024-05-03 00:00:00+00:00,58983.69,59129.53,58815.9,59032.58
2024-05-03 01:00:00+00:00,59032.57,59491.36,59003.73,59312.42
2024-05-03 02:00:00+00:00,59312.72,59899.24,59261.53,59544.17
2024-05-03 03:00:00+00:00,59544.17,59991.48,59509.65,59720.46
2024-05-03 04:00:00+00:00,59720.46,59840.65,59549.88,59603.07
2024-05-03 05:00:00+00:00,59603.07,59623.76,59473.08,59523.62
2024-05-03 06:00:00+00:00,59523.47,59572.0,59242.82,59258.13
2024-05-03 07:00:00+00:00,59257.58,59426.94,59081.6,59188.65
2024-05-03 08:00:00+00:00,59188.66,59386.98,59135.33,59223.8
2024-05-03 09:00:00+00:00,59223.8,59574.27,59200.38,59480.09
2024-05-03 10:00:00+00:00,59480.32,59484.89,58862.0,59041.53
2024-05-03 11:00:00+00:00,59041.53,59412.85,58876.25,59289.21
2024-05-03 12:00:00+00:00,59289.29,60747.78,59000.71,60648.13
2024-05-03 13:00:00+00:00,60647.83,61771.82,60527.44,61684.84
2024-05-03 14:00:00+00:00,61683.73,62092.3,61381.71,61617.43
2024-05-03 15:00:00+00:00,61617.43,61788.42,61345.82,61677.45
2024-05-03 16:00:00+00:00,61677.9,62150.1,61549.15,61682.31
2024-05-03 17:00:00+00:00,61682.76,61951.29,61542.96,61809.45
2024-05-03 18:00:00+00:00,61810.07,61981.44,61702.31,61829.57
2024-05-03 19:00:00+00:00,61829.57,62090.48,61598.12,62072.72
2024-05-03 20:00:00+00:00,62070.31,63174.15,61974.04,62894.18
2024-05-03 21:00:00+00:00,62894.19,62941.28,62373.51,62726.13
2024-05-03 22:00:00+00:00,62726.13,62994.38,62640.66,62789.83
2024-05-03 23:00:00+00:00,62789.83,63314.35,62769.77,62875.31
2024-05-04 00:00:00+00:00,62875.31,63186.47,62790.6,63100.56
2024-05-04 01:00:00+00:00,63100.56,63587.1,62847.47,62883.73
2024-05-04 02:00:00+00:00,62881.84,62924.73,62592.49,62721.4
2024-05-04 03:00:00+00:00,62720.95,62899.6,62684.34,62740.63
2024-05-04 04:00:00+00:00,62740.63,63197.02,62709.27,63075.96
2024-05-04 05:00:00+00:00,63077.34,63464.38,62977.96,63406.54
